Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date,Season
Washington Wizards,Phoenix Suns,21800480,149,0.375,0.466,0.331,0.746,38.6,23.8,13.2,8.3,5.2,-4.5,108.4,112.9,0.562,146,0.25,0.45299999999999996,0.335,0.784,40.7,23.6,16.2,8.3,4.4,-8.9,102.5,111.3,0.545,1,2018-12-22,2018-19
Golden State Warriors,LA Clippers,21800494,129,0.667,0.485,0.385,0.83,45.0,27.2,14.6,7.1,6.1,4.9,113.1,108.2,0.591,127,0.594,0.474,0.374,0.805,44.4,21.9,14.5,5.7,4.8,1.0,111.7,110.5,0.5770000000000001,1,2018-12-23,2018-19
Los Angeles Lakers,Memphis Grizzlies,21800496,99,0.594,0.47700000000000004,0.345,0.693,44.3,23.3,15.0,8.1,5.7,1.7,108.6,106.8,0.562,107,0.5,0.455,0.35200000000000004,0.76,40.8,23.8,14.2,9.2,6.4,-0.5,105.0,105.1,0.551,0,2018-12-23,2018-19
Boston Celtics,Charlotte Hornets,21800488,119,0.581,0.451,0.361,0.795,45.0,24.7,13.2,8.7,5.3,6.2,109.4,103.4,0.557,103,0.516,0.456,0.359,0.797,43.2,23.7,12.4,7.3,5.3,2.5,111.1,108.8,0.561,1,2018-12-23,2018-19
Brooklyn Nets,Phoenix Suns,21800489,111,0.441,0.452,0.361,0.746,44.5,23.2,14.9,6.7,3.7,-0.8,109.9,110.4,0.5579999999999999,103,0.242,0.45399999999999996,0.335,0.782,40.7,23.6,16.1,8.5,4.4,-8.7,103.1,111.7,0.546,1,2018-12-23,2018-19
Orlando Magic,Miami Heat,21800491,91,0.452,0.44299999999999995,0.35100000000000003,0.774,42.9,25.2,14.1,6.9,5.6,-4.1,104.0,108.2,0.536,115,0.484,0.429,0.353,0.698,47.9,22.4,15.2,7.5,6.2,-0.6,105.3,105.8,0.529,0,2018-12-23,2018-19
Cleveland Cavaliers,Chicago Bulls,21800490,92,0.242,0.446,0.354,0.784,45.0,20.6,13.9,6.9,2.7,-8.7,106.1,115.2,0.534,112,0.242,0.441,0.34,0.774,41.1,21.4,15.6,7.9,4.8,-9.9,99.7,109.6,0.531,0,2018-12-23,2018-19
Detroit Pistons,Atlanta Hawks,21800486,95,0.5,0.436,0.326,0.718,46.2,21.6,14.6,6.7,3.9,-1.0,106.7,107.5,0.531,98,0.258,0.447,0.327,0.74,41.4,23.8,17.5,8.3,5.3,-9.1,102.6,111.3,0.546,0,2018-12-23,2018-19
Portland Trail Blazers,Dallas Mavericks,21800495,121,0.563,0.45799999999999996,0.36,0.818,47.7,20.8,14.8,6.6,4.9,0.7,110.8,110.2,0.561,118,0.484,0.456,0.34600000000000003,0.746,44.7,22.6,15.7,7.8,4.3,0.8,108.7,108.3,0.563,1,2018-12-23,2018-19
Indiana Pacers,Washington Wizards,21800487,105,0.636,0.475,0.373,0.746,44.4,25.3,15.1,9.0,5.6,5.2,107.6,102.4,0.5589999999999999,89,0.39399999999999996,0.467,0.332,0.7509999999999999,38.7,24.1,13.4,8.2,5.2,-4.3,108.8,113.0,0.564,1,2018-12-23,2018-19
Sacramento Kings,New Orleans Pelicans,21800492,122,0.531,0.474,0.385,0.705,41.9,24.2,13.5,7.8,4.3,-1.4,109.3,110.6,0.564,117,0.455,0.47600000000000003,0.35200000000000004,0.764,45.6,26.2,14.5,7.3,5.4,1.0,111.8,111.1,0.569,1,2018-12-23,2018-19
Oklahoma City Thunder,Minnesota Timberwolves,21800493,112,0.677,0.456,0.327,0.703,47.1,22.0,14.6,10.2,5.3,6.5,108.2,101.7,0.541,114,0.43799999999999994,0.44799999999999995,0.35600000000000004,0.8059999999999999,43.3,23.8,13.0,9.0,5.5,-0.8,108.7,109.8,0.547,0,2018-12-23,2018-19
Golden State Warriors,Los Angeles Lakers,21800500,101,0.6759999999999999,0.484,0.384,0.8320000000000001,45.0,27.0,14.4,7.1,6.1,4.8,113.5,108.7,0.591,127,0.5760000000000001,0.478,0.345,0.693,44.3,23.4,15.0,8.1,5.7,1.5,108.4,106.9,0.562,0,2018-12-25,2018-19
New York Knicks,Milwaukee Bucks,21800497,95,0.265,0.439,0.34299999999999997,0.77,44.1,19.5,14.1,6.9,4.6,-7.2,106.5,113.2,0.535,109,0.688,0.474,0.348,0.7659999999999999,48.1,25.4,14.6,7.0,5.7,8.1,112.7,104.4,0.5820000000000001,0,2018-12-25,2018-19
Boston Celtics,Philadelphia 76ers,21800499,121,0.594,0.45299999999999996,0.36,0.795,45.1,24.9,13.2,8.7,5.3,6.5,109.8,103.5,0.5589999999999999,114,0.647,0.469,0.35200000000000004,0.774,45.8,25.9,15.0,6.7,5.4,2.7,110.5,107.7,0.574,1,2018-12-25,2018-19
Houston Rockets,Oklahoma City Thunder,21800498,113,0.531,0.447,0.345,0.7609999999999999,42.4,21.9,14.8,8.1,5.5,0.7,112.1,111.4,0.569,109,0.6559999999999999,0.457,0.327,0.705,47.0,21.8,14.6,10.0,5.5,6.2,108.2,102.0,0.541,1,2018-12-25,2018-19
Utah Jazz,Portland Trail Blazers,21800501,117,0.47100000000000003,0.461,0.34,0.721,43.3,24.8,15.8,8.9,5.1,1.0,106.1,105.4,0.56,96,0.5760000000000001,0.45799999999999996,0.35700000000000004,0.815,47.7,21.0,14.6,6.6,4.9,0.7,110.7,110.0,0.56,1,2018-12-25,2018-19
San Antonio Spurs,Denver Nuggets,21800510,111,0.529,0.47600000000000003,0.40299999999999997,0.8270000000000001,44.8,24.6,12.3,5.9,4.6,1.8,112.1,110.1,0.57,103,0.677,0.46399999999999997,0.34299999999999997,0.752,47.2,27.0,14.1,8.6,4.9,5.8,111.0,105.3,0.5539999999999999,1,2018-12-26,2018-19
Chicago Bulls,Minnesota Timberwolves,21800507,94,0.265,0.444,0.344,0.7759999999999999,41.3,21.6,15.6,7.9,4.8,-9.0,100.4,109.3,0.535,119,0.455,0.449,0.361,0.802,43.2,23.8,13.1,9.0,5.5,-0.7,108.8,109.8,0.5479999999999999,0,2018-12-26,2018-19
Brooklyn Nets,Charlotte Hornets,21800505,134,0.457,0.452,0.361,0.742,44.6,23.3,14.9,6.7,3.8,-0.5,109.9,110.3,0.5579999999999999,132,0.5,0.455,0.35600000000000004,0.795,43.1,23.7,12.4,7.3,5.3,2.0,110.9,109.2,0.5589999999999999,1,2018-12-26,2018-19
LA Clippers,Sacramento Kings,21800511,127,0.5760000000000001,0.47600000000000003,0.386,0.805,44.3,21.9,14.5,5.6,4.7,0.9,112.0,111.0,0.58,118,0.545,0.47200000000000003,0.387,0.706,42.0,24.2,13.3,7.8,4.3,-1.2,109.4,110.5,0.563,1,2018-12-26,2018-19
Orlando Magic,Phoenix Suns,21800503,120,0.43799999999999994,0.442,0.35100000000000003,0.7709999999999999,42.9,25.0,14.3,6.8,5.6,-4.8,103.9,108.7,0.536,122,0.235,0.455,0.332,0.785,40.7,23.6,16.0,8.5,4.4,-8.7,103.1,111.6,0.546,0,2018-12-26,2018-19
Miami Heat,Toronto Raptors,21800506,104,0.5,0.43200000000000005,0.35700000000000004,0.6970000000000001,47.7,22.6,15.1,7.6,6.1,0.2,105.8,105.7,0.531,106,0.7140000000000001,0.48,0.34,0.805,44.7,24.1,14.0,8.1,5.3,6.6,112.6,106.4,0.578,0,2018-12-26,2018-19
Detroit Pistons,Washington Wizards,21800502,106,0.484,0.435,0.327,0.715,46.0,21.6,14.6,6.7,4.0,-1.1,106.3,107.1,0.531,95,0.382,0.465,0.33,0.7559999999999999,38.6,24.0,13.6,8.2,5.1,-4.6,108.1,112.7,0.562,1,2018-12-26,2018-19
Dallas Mavericks,New Orleans Pelicans,21800509,122,0.469,0.455,0.34700000000000003,0.745,44.7,22.5,15.5,7.6,4.2,0.7,108.6,108.2,0.561,119,0.441,0.47600000000000003,0.349,0.7659999999999999,45.8,26.1,14.4,7.3,5.5,0.8,111.7,111.1,0.568,1,2018-12-26,2018-19
Atlanta Hawks,Indiana Pacers,21800504,121,0.281,0.445,0.326,0.742,41.8,23.8,17.4,8.3,5.4,-8.7,102.5,110.8,0.544,129,0.647,0.474,0.37,0.747,44.7,25.2,15.2,9.1,5.6,5.5,107.4,101.9,0.5579999999999999,0,2018-12-26,2018-19
Memphis Grizzlies,Cleveland Cavaliers,21800508,95,0.515,0.455,0.358,0.758,41.0,23.9,14.1,9.2,6.4,-0.2,105.2,105.0,0.551,87,0.235,0.447,0.35200000000000004,0.7809999999999999,44.7,20.3,13.9,6.9,2.6,-9.1,106.0,115.4,0.5329999999999999,1,2018-12-26,2018-19
Golden State Warriors,Portland Trail Blazers,21800516,109,0.657,0.48200000000000004,0.38,0.83,44.7,27.0,14.4,7.0,6.0,3.9,113.0,109.0,0.588,110,0.5589999999999999,0.456,0.358,0.81,47.5,20.9,14.5,6.6,4.8,0.1,110.3,110.2,0.5579999999999999,0,2018-12-27,2018-19
Houston Rockets,Boston Celtics,21800512,127,0.545,0.447,0.344,0.759,42.8,21.8,14.9,8.1,5.4,0.8,112.0,111.2,0.568,113,0.606,0.451,0.36,0.797,45.3,24.7,13.0,8.6,5.2,6.5,109.6,103.4,0.557,1,2018-12-27,2018-19
Utah Jazz,Philadelphia 76ers,21800515,97,0.486,0.46299999999999997,0.34299999999999997,0.716,43.5,24.7,15.8,8.9,5.2,1.5,106.4,105.1,0.562,114,0.629,0.467,0.353,0.774,45.9,25.8,15.0,6.7,5.3,2.4,110.2,107.6,0.573,0,2018-12-27,2018-19
Milwaukee Bucks,New York Knicks,21800513,112,0.6970000000000001,0.473,0.344,0.762,48.1,25.2,14.4,7.0,5.8,8.3,112.4,104.0,0.58,96,0.257,0.43700000000000006,0.341,0.7709999999999999,44.4,19.4,14.1,6.8,4.6,-7.3,106.1,112.9,0.532,1,2018-12-27,2018-19
Sacramento Kings,Los Angeles Lakers,21800514,117,0.529,0.47200000000000003,0.386,0.705,42.0,24.2,13.3,7.8,4.5,-1.4,109.4,110.7,0.562,116,0.588,0.48,0.34700000000000003,0.6940000000000001,44.3,23.5,14.9,8.0,5.7,2.1,108.8,106.5,0.565,1,2018-12-27,2018-19
Los Angeles Lakers,LA Clippers,21800526,107,0.5710000000000001,0.48100000000000004,0.348,0.6940000000000001,44.3,23.5,15.0,7.9,5.6,2.1,108.8,106.7,0.5660000000000001,118,0.588,0.47700000000000004,0.387,0.805,44.4,21.9,14.5,5.6,4.7,1.2,112.2,110.9,0.58,0,2018-12-28,2018-19
Phoenix Suns,Oklahoma City Thunder,21800525,102,0.257,0.456,0.337,0.784,40.7,23.5,16.0,8.5,4.6,-8.4,103.4,111.7,0.547,118,0.636,0.456,0.327,0.7040000000000001,47.1,21.8,14.6,10.0,5.6,5.9,108.1,102.2,0.54,0,2018-12-28,2018-19
Orlando Magic,Toronto Raptors,21800519,116,0.424,0.44299999999999995,0.35200000000000004,0.773,42.8,24.8,14.3,7.0,5.5,-4.7,104.2,108.8,0.537,87,0.722,0.48,0.34299999999999997,0.8059999999999999,44.7,24.0,14.1,8.1,5.3,6.5,112.6,106.5,0.578,1,2018-12-28,2018-19
Miami Heat,Cleveland Cavaliers,21800521,118,0.485,0.434,0.359,0.695,47.4,22.8,15.0,7.7,6.1,0.1,106.0,105.9,0.5329999999999999,94,0.22899999999999998,0.444,0.35100000000000003,0.782,45.0,20.3,14.0,7.0,2.6,-9.1,105.6,115.1,0.531,1,2018-12-28,2018-19
Indiana Pacers,Detroit Pistons,21800518,125,0.657,0.47600000000000003,0.373,0.746,44.5,25.4,15.2,9.2,5.5,5.6,107.9,102.4,0.561,88,0.5,0.436,0.32899999999999996,0.721,46.0,21.7,14.9,6.7,4.0,-0.7,106.3,106.9,0.532,1,2018-12-28,2018-19
Denver Nuggets,San Antonio Spurs,21800524,102,0.6559999999999999,0.461,0.34700000000000003,0.7490000000000001,47.2,27.0,14.1,8.6,4.9,5.3,110.8,105.5,0.552,99,0.5429999999999999,0.475,0.4,0.826,45.0,24.7,12.3,5.9,4.6,2.0,112.0,109.9,0.569,1,2018-12-28,2018-19
Minnesota Timberwolves,Atlanta Hawks,21800522,120,0.47100000000000003,0.45,0.36,0.8029999999999999,43.5,23.9,13.1,8.9,5.3,0.0,109.2,109.4,0.55,123,0.273,0.447,0.33,0.743,41.7,24.0,17.5,8.3,5.4,-8.7,102.9,111.1,0.547,0,2018-12-28,2018-19
Charlotte Hornets,Brooklyn Nets,21800517,100,0.485,0.455,0.359,0.794,43.1,23.7,12.4,7.3,5.2,1.8,110.9,109.3,0.5589999999999999,87,0.47200000000000003,0.45299999999999996,0.363,0.742,44.7,23.4,14.9,6.7,3.8,-0.5,110.0,110.3,0.5589999999999999,1,2018-12-28,2018-19
Washington Wizards,Chicago Bulls,21800520,92,0.371,0.465,0.32799999999999996,0.7559999999999999,38.4,23.8,13.7,8.3,5.0,-4.8,107.9,112.5,0.562,101,0.257,0.44299999999999995,0.342,0.773,41.4,21.6,15.5,7.9,4.8,-9.5,100.2,109.7,0.532,0,2018-12-28,2018-19
New Orleans Pelicans,Dallas Mavericks,21800523,114,0.429,0.47600000000000003,0.35100000000000003,0.7659999999999999,45.6,26.1,14.3,7.2,5.4,0.7,111.9,111.4,0.568,112,0.485,0.455,0.34600000000000003,0.7490000000000001,44.7,22.5,15.3,7.5,4.4,0.8,109.0,108.5,0.563,1,2018-12-28,2018-19
Phoenix Suns,Denver Nuggets,21800533,118,0.25,0.456,0.336,0.7879999999999999,40.5,23.5,16.0,8.6,4.6,-8.5,103.3,111.7,0.547,122,0.667,0.461,0.34700000000000003,0.7509999999999999,47.4,27.1,14.3,8.5,4.9,5.3,110.7,105.4,0.552,0,2018-12-29,2018-19
LA Clippers,San Antonio Spurs,21800535,111,0.6,0.475,0.386,0.81,44.5,21.8,14.5,5.7,4.7,1.4,112.1,110.5,0.58,122,0.528,0.475,0.397,0.818,44.8,24.7,12.2,6.2,4.5,1.8,111.8,109.9,0.568,0,2018-12-29,2018-19
Utah Jazz,New York Knicks,21800532,129,0.47200000000000003,0.461,0.342,0.716,43.5,24.6,15.8,8.9,5.1,1.0,106.2,105.4,0.56,97,0.25,0.435,0.34299999999999997,0.769,44.4,19.4,14.0,6.8,4.6,-7.6,105.8,112.9,0.53,1,2018-12-29,2018-19
Portland Trail Blazers,Golden State Warriors,21800534,105,0.5710000000000001,0.45299999999999996,0.35700000000000004,0.813,47.6,20.8,14.5,6.6,4.8,0.1,109.9,109.8,0.555,115,0.639,0.48,0.376,0.821,45.0,27.2,14.4,7.1,6.0,3.8,112.5,108.7,0.585,0,2018-12-29,2018-19
Milwaukee Bucks,Brooklyn Nets,21800527,129,0.706,0.473,0.344,0.763,48.4,25.1,14.4,6.9,5.9,8.5,112.4,103.9,0.579,115,0.45899999999999996,0.452,0.358,0.7440000000000001,44.8,23.2,14.9,6.6,4.0,-0.8,109.4,110.1,0.557,1,2018-12-29,2018-19
Atlanta Hawks,Cleveland Cavaliers,21800529,111,0.294,0.44799999999999995,0.33399999999999996,0.741,42.0,24.2,17.6,8.3,5.4,-8.3,103.2,111.0,0.547,108,0.222,0.442,0.35100000000000003,0.784,45.0,20.4,14.1,6.9,2.6,-9.5,105.4,115.4,0.53,1,2018-12-29,2018-19
Washington Wizards,Charlotte Hornets,21800530,130,0.361,0.46299999999999997,0.327,0.758,38.6,23.8,13.7,8.3,5.1,-4.9,107.7,112.4,0.56,126,0.5,0.45399999999999996,0.359,0.792,43.3,23.6,12.3,7.2,5.2,2.2,110.7,108.7,0.557,1,2018-12-29,2018-19
Memphis Grizzlies,Boston Celtics,21800531,103,0.529,0.456,0.355,0.758,40.8,23.9,14.1,9.1,6.5,0.0,105.1,104.7,0.552,112,0.588,0.452,0.36,0.797,45.1,24.8,13.0,8.6,5.2,5.9,109.8,104.2,0.5579999999999999,0,2018-12-29,2018-19
New Orleans Pelicans,Houston Rockets,21800528,104,0.444,0.475,0.34700000000000003,0.767,45.8,26.0,14.2,7.2,5.3,0.8,112.1,111.6,0.5670000000000001,108,0.5589999999999999,0.44799999999999995,0.34600000000000003,0.759,43.2,21.7,14.9,8.0,5.4,1.2,112.5,111.3,0.57,0,2018-12-29,2018-19
Los Angeles Lakers,Sacramento Kings,21800541,121,0.556,0.479,0.348,0.6940000000000001,44.3,23.4,15.0,7.8,5.5,1.7,108.5,106.7,0.564,114,0.5429999999999999,0.47100000000000003,0.385,0.708,42.1,24.2,13.3,7.8,4.5,-1.4,109.4,110.7,0.561,1,2018-12-30,2018-19
Orlando Magic,Detroit Pistons,21800536,109,0.441,0.444,0.35200000000000004,0.7759999999999999,43.3,24.9,14.3,6.8,5.5,-3.7,104.6,108.2,0.5379999999999999,107,0.485,0.434,0.326,0.723,46.0,21.8,15.1,6.7,4.1,-1.8,105.8,107.4,0.53,1,2018-12-30,2018-19
Miami Heat,Minnesota Timberwolves,21800537,104,0.5,0.43700000000000006,0.358,0.696,47.4,23.0,14.8,7.7,6.1,0.8,106.5,105.6,0.535,113,0.457,0.45,0.36,0.792,43.4,23.9,13.1,9.0,5.4,-0.1,109.1,109.5,0.5489999999999999,0,2018-12-30,2018-19
Portland Trail Blazers,Philadelphia 76ers,21800540,129,0.556,0.452,0.355,0.813,47.5,20.8,14.5,6.6,4.8,-0.2,109.8,110.0,0.5539999999999999,95,0.639,0.46799999999999997,0.354,0.775,46.0,26.0,15.0,6.7,5.4,2.8,110.4,107.4,0.574,1,2018-12-30,2018-19
Dallas Mavericks,Oklahoma City Thunder,21800539,105,0.47100000000000003,0.456,0.35,0.747,44.6,22.5,15.4,7.5,4.5,0.7,109.2,108.9,0.565,103,0.647,0.45899999999999996,0.327,0.7040000000000001,47.1,21.8,14.7,10.1,5.6,6.2,108.2,102.1,0.542,1,2018-12-30,2018-19
Toronto Raptors,Chicago Bulls,21800538,95,0.703,0.475,0.34299999999999997,0.805,44.6,23.8,14.0,8.0,5.4,5.6,111.9,106.8,0.574,89,0.278,0.444,0.342,0.772,41.6,21.6,15.4,7.9,4.8,-9.0,100.4,109.4,0.5329999999999999,1,2018-12-30,2018-19
San Antonio Spurs,Boston Celtics,21800545,120,0.541,0.47600000000000003,0.39299999999999996,0.8220000000000001,44.8,24.7,12.3,6.2,4.5,2.1,111.8,109.6,0.569,111,0.6,0.45299999999999996,0.363,0.799,44.8,24.9,13.1,8.7,5.1,6.0,110.0,104.3,0.56,1,2018-12-31,2018-19
Phoenix Suns,Golden State Warriors,21800548,109,0.243,0.45799999999999996,0.337,0.785,40.4,23.6,15.9,8.7,4.6,-8.4,103.6,112.0,0.5479999999999999,132,0.649,0.48,0.379,0.821,44.9,27.2,14.3,7.1,6.0,4.0,112.6,108.6,0.586,0,2018-12-31,2018-19
Houston Rockets,Memphis Grizzlies,21800544,113,0.5710000000000001,0.447,0.34600000000000003,0.76,43.1,21.7,14.8,8.0,5.4,1.3,112.5,111.2,0.57,101,0.514,0.457,0.35200000000000004,0.76,40.8,23.9,14.2,9.2,6.4,-0.2,105.2,105.0,0.5529999999999999,1,2018-12-31,2018-19
Indiana Pacers,Atlanta Hawks,21800542,116,0.667,0.48,0.371,0.745,44.5,25.6,15.1,9.3,5.5,6.5,108.4,102.0,0.563,108,0.314,0.44799999999999995,0.332,0.737,42.3,24.3,17.5,8.3,5.4,-8.0,103.4,111.0,0.546,1,2018-12-31,2018-19
Charlotte Hornets,Orlando Magic,21800543,125,0.486,0.455,0.36,0.792,43.2,23.5,12.4,7.3,5.2,2.0,111.1,109.2,0.5589999999999999,100,0.457,0.445,0.35100000000000003,0.7809999999999999,43.4,24.8,14.3,6.9,5.5,-3.5,104.8,108.3,0.539,1,2018-12-31,2018-19
Oklahoma City Thunder,Dallas Mavericks,21800547,122,0.629,0.45799999999999996,0.324,0.703,46.8,21.6,14.5,10.2,5.5,5.9,108.0,102.1,0.541,102,0.486,0.456,0.35,0.748,44.7,22.4,15.6,7.5,4.4,0.7,109.0,108.6,0.565,1,2018-12-31,2018-19
New Orleans Pelicans,Minnesota Timberwolves,21800546,123,0.43200000000000005,0.474,0.34700000000000003,0.767,45.8,26.0,14.3,7.2,5.3,0.7,112.0,111.6,0.5660000000000001,114,0.47200000000000003,0.449,0.359,0.792,43.6,23.9,13.0,9.0,5.6,0.2,109.3,109.4,0.5479999999999999,1,2018-12-31,2018-19
LA Clippers,Philadelphia 76ers,21800553,113,0.583,0.475,0.387,0.809,44.3,21.8,14.5,5.8,4.6,1.1,111.8,110.6,0.579,119,0.622,0.465,0.348,0.773,45.6,25.7,14.8,6.9,5.3,1.9,109.8,107.7,0.57,0,2019-01-01,2018-19
Milwaukee Bucks,Detroit Pistons,21800550,121,0.7140000000000001,0.473,0.34700000000000003,0.765,48.1,25.2,14.3,6.9,5.9,8.6,112.7,104.0,0.581,98,0.47100000000000003,0.433,0.324,0.7290000000000001,46.2,21.8,15.1,6.7,4.0,-1.8,105.9,107.5,0.53,1,2019-01-01,2018-19
Sacramento Kings,Portland Trail Blazers,21800552,108,0.528,0.47200000000000003,0.384,0.7090000000000001,42.1,24.2,13.3,7.8,4.5,-1.5,109.5,110.8,0.561,113,0.568,0.456,0.358,0.812,47.8,20.9,14.6,6.4,4.7,0.7,110.1,109.4,0.5579999999999999,0,2019-01-01,2018-19
Denver Nuggets,New York Knicks,21800551,115,0.6759999999999999,0.46399999999999997,0.353,0.7509999999999999,47.2,27.2,14.5,8.6,4.8,5.2,111.0,105.8,0.556,108,0.243,0.433,0.34700000000000003,0.7709999999999999,44.1,19.4,14.0,6.9,4.5,-8.2,105.6,113.3,0.529,1,2019-01-01,2018-19
Toronto Raptors,Utah Jazz,21800549,122,0.711,0.47200000000000003,0.341,0.8079999999999999,44.9,23.7,14.0,8.0,5.5,5.6,111.6,106.5,0.5710000000000001,116,0.486,0.46399999999999997,0.345,0.718,43.9,24.7,15.8,8.9,5.2,1.9,106.7,105.1,0.562,1,2019-01-01,2018-19
Los Angeles Lakers,Oklahoma City Thunder,21800562,100,0.568,0.479,0.348,0.6920000000000001,44.4,23.5,14.9,7.8,5.5,1.8,108.7,106.8,0.564,107,0.639,0.457,0.322,0.703,46.6,21.6,14.4,10.2,5.4,6.3,108.0,101.7,0.54,0,2019-01-02,2018-19
Chicago Bulls,Orlando Magic,21800559,84,0.27,0.44299999999999995,0.342,0.775,41.7,21.5,15.5,7.9,4.7,-8.9,100.2,109.1,0.5329999999999999,112,0.444,0.444,0.349,0.78,43.6,24.7,14.3,6.8,5.5,-4.1,104.7,108.7,0.5379999999999999,0,2019-01-02,2018-19
Phoenix Suns,Philadelphia 76ers,21800561,127,0.237,0.457,0.337,0.7879999999999999,40.3,23.5,15.8,8.7,4.6,-8.8,103.6,112.4,0.5479999999999999,132,0.632,0.465,0.35,0.7709999999999999,45.8,25.6,15.0,6.9,5.3,2.0,109.7,107.7,0.57,0,2019-01-02,2018-19
Brooklyn Nets,New Orleans Pelicans,21800557,126,0.447,0.45299999999999996,0.36,0.742,44.7,23.3,14.9,6.6,4.0,-1.1,109.5,110.5,0.5579999999999999,121,0.447,0.475,0.35100000000000003,0.77,45.8,26.1,14.3,7.1,5.2,0.9,112.3,111.7,0.568,1,2019-01-02,2018-19
Boston Celtics,Minnesota Timberwolves,21800558,115,0.583,0.45399999999999996,0.36200000000000004,0.797,44.8,25.1,13.1,8.6,5.2,5.6,110.1,104.7,0.561,102,0.45899999999999996,0.449,0.358,0.7929999999999999,43.5,24.1,12.9,9.1,5.7,-0.1,109.4,109.8,0.5479999999999999,1,2019-01-02,2018-19
Cleveland Cavaliers,Miami Heat,21800555,92,0.21600000000000003,0.44299999999999995,0.348,0.784,45.0,20.6,14.0,7.0,2.6,-9.3,105.5,115.3,0.531,117,0.486,0.436,0.35700000000000004,0.6990000000000001,47.5,22.9,15.0,7.7,6.1,0.5,106.5,105.9,0.534,0,2019-01-02,2018-19
Charlotte Hornets,Dallas Mavericks,21800554,84,0.5,0.456,0.36200000000000004,0.797,43.3,23.7,12.3,7.3,5.1,2.6,111.5,109.0,0.56,122,0.47200000000000003,0.455,0.35100000000000003,0.748,44.6,22.3,15.9,7.4,4.4,0.2,108.4,108.6,0.565,0,2019-01-02,2018-19
Washington Wizards,Atlanta Hawks,21800556,114,0.37799999999999995,0.46399999999999997,0.32799999999999996,0.7609999999999999,38.6,24.1,13.6,8.3,5.1,-4.6,108.1,112.7,0.562,98,0.306,0.447,0.33399999999999996,0.735,42.6,24.3,17.5,8.3,5.4,-8.0,103.5,111.2,0.545,1,2019-01-02,2018-19
Memphis Grizzlies,Detroit Pistons,21800560,94,0.5,0.457,0.349,0.7559999999999999,40.8,23.9,14.1,9.3,6.3,-0.6,105.2,105.3,0.552,101,0.457,0.43200000000000005,0.325,0.7290000000000001,46.1,21.8,15.1,6.7,4.0,-2.4,105.8,108.0,0.529,0,2019-01-02,2018-19
Golden State Warriors,Houston Rockets,21800565,134,0.6579999999999999,0.48200000000000004,0.381,0.821,44.8,27.2,14.3,7.1,6.0,4.4,112.9,108.5,0.588,135,0.583,0.447,0.349,0.759,43.2,21.6,14.8,7.9,5.4,1.6,112.6,111.0,0.5710000000000001,0,2019-01-03,2018-19
San Antonio Spurs,Toronto Raptors,21800563,125,0.5529999999999999,0.47600000000000003,0.397,0.823,44.8,24.8,12.2,6.2,4.5,2.3,112.0,109.8,0.57,107,0.718,0.474,0.341,0.804,44.9,23.5,13.8,7.9,5.5,5.6,111.9,106.7,0.5720000000000001,1,2019-01-03,2018-19
Sacramento Kings,Denver Nuggets,21800564,113,0.514,0.469,0.38299999999999995,0.7090000000000001,42.3,24.1,13.3,7.9,4.5,-1.6,109.1,110.5,0.557,117,0.6859999999999999,0.46399999999999997,0.353,0.748,47.5,27.5,14.4,8.6,4.9,5.3,111.3,106.1,0.556,0,2019-01-03,2018-19
Los Angeles Lakers,New York Knicks,21800574,112,0.5529999999999999,0.47700000000000004,0.34600000000000003,0.688,44.5,23.5,14.9,7.8,5.6,1.6,108.1,106.5,0.562,119,0.237,0.434,0.348,0.77,44.2,19.6,13.9,6.8,4.5,-8.2,105.9,113.5,0.529,0,2019-01-04,2018-19
Chicago Bulls,Indiana Pacers,21800569,116,0.263,0.442,0.342,0.774,41.6,21.4,15.4,7.9,4.6,-9.4,100.1,109.5,0.531,119,0.6759999999999999,0.48,0.373,0.7440000000000001,44.4,25.8,15.0,9.4,5.5,6.5,108.7,102.2,0.564,0,2019-01-04,2018-19
Phoenix Suns,LA Clippers,21800573,111,0.231,0.457,0.337,0.79,40.1,23.4,15.8,8.7,4.5,-8.7,103.9,112.5,0.5489999999999999,121,0.568,0.474,0.382,0.8059999999999999,44.1,21.6,14.5,5.9,4.5,0.9,111.6,110.5,0.578,0,2019-01-04,2018-19
Boston Celtics,Dallas Mavericks,21800566,114,0.595,0.457,0.363,0.7979999999999999,44.5,25.3,13.2,8.6,5.3,5.8,110.4,104.8,0.564,93,0.486,0.455,0.353,0.7509999999999999,45.0,22.5,15.8,7.5,4.4,1.2,108.8,108.0,0.5660000000000001,1,2019-01-04,2018-19
Cleveland Cavaliers,Utah Jazz,21800567,91,0.21100000000000002,0.44299999999999995,0.35,0.785,44.5,20.7,14.0,7.0,2.6,-9.8,105.4,115.6,0.532,117,0.474,0.46299999999999997,0.34299999999999997,0.72,43.9,24.6,15.5,8.8,5.1,1.6,107.0,105.5,0.561,0,2019-01-04,2018-19
