Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date,Season
LA Clippers,Houston Rockets,21800039,115,0.5,0.414,0.35200000000000004,0.7829999999999999,46.1,20.4,14.1,2.9,5.8,3.4,100.0,97.1,0.527,112,0.5,0.441,0.35600000000000004,0.7040000000000001,42.7,20.2,14.1,7.0,5.2,-4.7,110.8,114.4,0.557,1,2018-10-21,2018-19
Cleveland Cavaliers,Atlanta Hawks,21800036,111,0.0,0.444,0.35700000000000004,0.794,44.4,20.8,14.5,4.3,1.0,-9.7,109.7,119.3,0.546,133,0.0,0.474,0.364,0.667,38.8,21.0,19.6,7.3,3.7,-15.1,102.3,117.4,0.569,0,2018-10-21,2018-19
Denver Nuggets,Golden State Warriors,21800038,100,1.0,0.442,0.327,0.8029999999999999,52.9,23.1,13.9,8.7,7.2,17.8,108.7,90.9,0.556,98,1.0,0.5,0.37799999999999995,0.917,48.8,26.6,17.9,8.2,6.3,4.3,112.1,107.7,0.586,1,2018-10-21,2018-19
Oklahoma City Thunder,Sacramento Kings,21800037,120,0.0,0.36,0.243,0.6829999999999999,47.5,19.1,13.7,8.3,4.9,-11.8,94.1,105.9,0.452,131,0.0,0.518,0.386,0.705,34.7,18.7,10.0,6.4,2.3,-11.9,112.3,123.1,0.585,0,2018-10-21,2018-19
Golden State Warriors,Phoenix Suns,21800047,123,0.667,0.48700000000000004,0.324,0.867,45.9,25.1,18.2,6.8,6.2,2.3,107.5,104.9,0.574,103,0.5,0.462,0.41100000000000003,0.706,42.4,27.8,15.7,5.6,3.0,-3.5,107.1,110.1,0.5870000000000001,1,2018-10-22,2018-19
Los Angeles Lakers,San Antonio Spurs,21800048,142,0.0,0.48200000000000004,0.242,0.7020000000000001,40.2,22.8,11.6,8.0,7.1,-8.0,104.5,113.5,0.5479999999999999,143,0.5,0.425,0.436,0.7440000000000001,47.7,26.4,9.3,4.1,4.1,-4.7,114.0,119.9,0.519,0,2018-10-22,2018-19
Boston Celtics,Orlando Magic,21800040,90,0.667,0.414,0.34700000000000003,0.789,49.2,23.1,15.0,6.2,4.2,2.6,100.7,97.7,0.51,93,0.33299999999999996,0.41700000000000004,0.341,0.687,47.4,22.7,15.1,7.2,6.9,-9.9,101.0,110.5,0.499,0,2018-10-22,2018-19
Portland Trail Blazers,Washington Wizards,21800046,124,1.0,0.484,0.406,0.8959999999999999,48.1,21.6,13.9,6.7,6.3,10.6,119.7,108.6,0.607,125,0.0,0.441,0.308,0.775,37.2,18.8,12.1,8.7,11.6,-2.4,108.7,111.7,0.5589999999999999,0,2018-10-22,2018-19
Utah Jazz,Memphis Grizzlies,21800045,84,0.5,0.48200000000000004,0.43799999999999994,0.7759999999999999,38.9,21.3,16.1,9.0,3.8,2.4,116.6,114.2,0.623,92,0.5,0.418,0.418,0.746,34.2,23.8,13.4,9.9,3.5,-6.9,105.9,112.9,0.545,0,2018-10-22,2018-19
Milwaukee Bucks,New York Knicks,21800042,124,1.0,0.483,0.38799999999999996,0.6829999999999999,51.7,25.6,18.4,6.8,5.8,8.7,111.6,103.4,0.589,113,0.33299999999999996,0.424,0.344,0.7559999999999999,41.3,18.7,11.3,9.7,2.6,4.8,107.1,101.9,0.523,1,2018-10-22,2018-19
Dallas Mavericks,Chicago Bulls,21800044,115,0.5,0.46799999999999997,0.325,0.722,39.2,27.9,12.3,7.4,6.4,-8.3,117.6,125.4,0.5720000000000001,109,0.0,0.46799999999999997,0.33299999999999996,0.789,38.8,26.2,11.2,3.9,4.4,-10.2,108.7,118.4,0.547,1,2018-10-22,2018-19
Minnesota Timberwolves,Indiana Pacers,21800043,101,0.33299999999999996,0.485,0.423,0.892,38.0,22.7,13.4,8.9,3.8,0.0,119.8,119.4,0.611,91,0.667,0.519,0.47100000000000003,0.645,46.0,21.3,16.0,7.0,5.0,10.3,114.7,104.0,0.595,1,2018-10-22,2018-19
Toronto Raptors,Charlotte Hornets,21800041,127,1.0,0.467,0.381,0.733,47.8,21.9,13.3,4.7,5.0,9.3,115.0,106.0,0.5670000000000001,106,0.667,0.451,0.415,0.708,44.0,24.6,12.6,6.5,8.1,10.4,111.7,101.6,0.564,1,2018-10-22,2018-19
Detroit Pistons,Philadelphia 76ers,21800049,133,1.0,0.415,0.375,0.8220000000000001,47.5,21.0,13.5,4.5,4.5,2.5,110.5,108.0,0.519,132,0.667,0.449,0.358,0.794,47.7,26.1,12.6,8.4,5.2,0.6,106.5,106.1,0.547,1,2018-10-23,2018-19
Denver Nuggets,Sacramento Kings,21800051,126,1.0,0.43,0.27399999999999997,0.7170000000000001,50.8,22.3,12.6,9.4,6.1,12.6,105.5,93.2,0.53,112,0.33299999999999996,0.528,0.409,0.722,37.1,21.0,12.8,7.6,3.6,-4.6,114.6,117.7,0.601,1,2018-10-23,2018-19
New Orleans Pelicans,LA Clippers,21800050,116,1.0,0.56,0.46399999999999997,0.691,48.4,32.4,12.8,6.4,3.2,17.8,127.9,111.6,0.645,109,0.667,0.434,0.304,0.8490000000000001,47.1,20.9,13.7,4.6,6.2,3.3,104.9,102.0,0.5429999999999999,1,2018-10-23,2018-19
Golden State Warriors,Washington Wizards,21800062,144,0.75,0.493,0.342,0.826,44.0,27.3,17.0,8.0,5.6,6.6,110.2,103.1,0.586,122,0.33299999999999996,0.43200000000000005,0.34299999999999997,0.753,40.2,19.0,10.7,7.4,9.5,-1.2,107.4,108.3,0.542,1,2018-10-24,2018-19
San Antonio Spurs,Indiana Pacers,21800058,96,0.667,0.455,0.47,0.741,45.3,27.0,8.8,5.5,3.6,-2.6,118.2,122.0,0.557,116,0.5,0.486,0.426,0.654,46.0,20.6,15.8,6.8,5.3,5.3,109.3,103.5,0.56,0,2018-10-24,2018-19
Chicago Bulls,Charlotte Hornets,21800056,112,0.0,0.48100000000000004,0.40299999999999997,0.746,37.4,23.6,13.8,4.6,4.3,-8.9,109.2,117.6,0.5660000000000001,110,0.5,0.444,0.397,0.735,43.3,23.7,12.5,6.1,7.3,2.7,110.3,107.3,0.5489999999999999,1,2018-10-24,2018-19
Phoenix Suns,Los Angeles Lakers,21800060,113,0.33299999999999996,0.45899999999999996,0.364,0.754,42.6,26.1,17.2,6.3,2.3,-8.9,104.0,112.9,0.574,131,0.0,0.493,0.287,0.6990000000000001,42.1,24.9,12.2,6.8,6.5,-5.6,111.6,117.6,0.5660000000000001,0,2018-10-24,2018-19
Cleveland Cavaliers,Brooklyn Nets,21800053,86,0.0,0.451,0.36200000000000004,0.768,45.2,21.2,15.4,4.5,1.3,-13.5,108.3,121.4,0.54,102,0.33299999999999996,0.486,0.35100000000000003,0.735,45.0,25.2,20.5,5.7,5.7,-7.0,107.0,114.1,0.584,0,2018-10-24,2018-19
Houston Rockets,Utah Jazz,21800057,89,0.33299999999999996,0.455,0.376,0.71,40.3,22.7,13.4,6.7,5.4,-4.2,111.2,114.6,0.5660000000000001,100,0.33299999999999996,0.44,0.381,0.778,43.1,20.6,16.0,8.2,4.6,-1.0,107.8,108.8,0.57,0,2018-10-24,2018-19
Miami Heat,New York Knicks,21800054,110,0.33299999999999996,0.413,0.314,0.723,50.5,20.1,16.8,4.5,6.8,-1.0,105.5,106.5,0.51,87,0.25,0.43200000000000005,0.344,0.774,41.5,19.4,11.4,8.7,2.4,1.0,108.0,106.5,0.526,1,2018-10-24,2018-19
Milwaukee Bucks,Philadelphia 76ers,21800059,123,1.0,0.478,0.4,0.6920000000000001,52.3,25.8,17.1,6.1,6.8,9.4,114.5,105.8,0.5870000000000001,108,0.5,0.462,0.348,0.769,46.6,26.8,11.9,6.9,5.7,0.2,109.7,110.0,0.561,1,2018-10-24,2018-19
Atlanta Hawks,Dallas Mavericks,21800052,111,0.33299999999999996,0.48,0.40700000000000003,0.6990000000000001,39.7,24.0,16.9,7.7,4.6,-3.4,109.8,113.6,0.589,104,0.667,0.455,0.32299999999999995,0.787,39.9,27.1,13.5,7.6,5.0,-3.6,117.2,120.4,0.569,1,2018-10-24,2018-19
Sacramento Kings,Memphis Grizzlies,21800061,97,0.25,0.527,0.41200000000000003,0.6629999999999999,37.4,22.8,13.5,7.4,4.2,-6.7,113.7,119.4,0.599,92,0.667,0.402,0.386,0.763,37.7,22.2,12.8,10.1,3.0,-2.0,103.0,105.1,0.525,1,2018-10-24,2018-19
Toronto Raptors,Minnesota Timberwolves,21800055,112,1.0,0.493,0.382,0.753,47.1,25.3,13.6,6.0,5.7,12.2,117.4,106.0,0.594,105,0.5,0.47,0.35600000000000004,0.897,40.3,23.1,13.8,9.0,5.8,2.4,115.5,113.1,0.591,1,2018-10-24,2018-19
Los Angeles Lakers,Denver Nuggets,21800066,121,0.25,0.5,0.302,0.708,42.0,26.8,11.1,8.2,6.1,-0.2,115.0,115.7,0.573,114,1.0,0.45399999999999996,0.298,0.7340000000000001,50.2,24.4,12.4,9.8,5.4,12.9,110.2,97.6,0.547,1,2018-10-25,2018-19
Orlando Magic,Portland Trail Blazers,21800064,114,0.5,0.415,0.325,0.688,48.1,24.2,13.7,7.0,5.7,-6.7,99.8,106.8,0.494,128,0.667,0.452,0.361,0.8859999999999999,51.7,20.4,14.9,6.1,5.2,6.4,113.4,107.3,0.5710000000000001,0,2018-10-25,2018-19
Detroit Pistons,Cleveland Cavaliers,21800063,110,1.0,0.435,0.371,0.778,45.5,20.6,11.3,4.2,4.2,1.9,114.2,111.9,0.532,103,0.0,0.434,0.322,0.7959999999999999,47.3,20.5,15.4,4.6,1.5,-14.1,103.4,117.6,0.518,1,2018-10-25,2018-19
Oklahoma City Thunder,Boston Celtics,21800065,95,0.0,0.39,0.239,0.667,46.8,19.6,14.6,8.9,6.0,-11.1,98.7,110.5,0.473,101,0.5,0.41200000000000003,0.312,0.7879999999999999,50.2,22.9,14.4,6.2,4.0,1.2,99.3,97.3,0.501,0,2018-10-25,2018-19
New York Knicks,Golden State Warriors,21800068,100,0.2,0.419,0.348,0.757,42.1,19.5,11.5,8.0,2.5,-3.7,103.7,107.2,0.511,128,0.8,0.51,0.368,0.847,43.9,28.5,16.9,7.5,5.4,9.4,114.4,104.6,0.609,0,2018-10-26,2018-19
Houston Rockets,LA Clippers,21800070,113,0.25,0.442,0.35200000000000004,0.687,39.1,21.1,14.3,8.0,5.3,-5.8,106.1,111.1,0.546,133,0.5,0.44299999999999995,0.293,0.841,46.6,20.0,14.4,4.6,5.6,0.7,104.9,104.1,0.545,0,2018-10-26,2018-19
Sacramento Kings,Washington Wizards,21800073,116,0.4,0.508,0.4,0.6559999999999999,41.0,22.0,14.1,7.3,4.3,-4.5,110.2,113.8,0.579,112,0.25,0.43700000000000006,0.326,0.792,37.8,19.2,10.8,7.1,7.3,-5.9,108.0,113.7,0.551,1,2018-10-26,2018-19
Minnesota Timberwolves,Milwaukee Bucks,21800071,95,0.4,0.45799999999999996,0.38799999999999996,0.866,41.0,23.4,14.3,9.2,5.7,0.6,113.5,113.1,0.575,125,1.0,0.46,0.374,0.768,50.8,24.8,15.3,6.2,7.4,10.5,114.1,103.8,0.575,0,2018-10-26,2018-19
Charlotte Hornets,Chicago Bulls,21800067,135,0.4,0.442,0.376,0.777,42.3,23.8,11.7,6.0,6.9,1.8,111.3,109.3,0.552,106,0.25,0.48100000000000004,0.387,0.7659999999999999,39.8,23.3,14.0,4.5,4.5,-6.3,111.3,117.2,0.5760000000000001,1,2018-10-26,2018-19
Toronto Raptors,Dallas Mavericks,21800069,116,1.0,0.498,0.375,0.752,46.6,25.5,14.3,6.6,6.2,11.2,116.5,105.8,0.594,107,0.5,0.446,0.318,0.743,41.7,25.8,14.0,7.2,5.8,-4.3,110.6,115.2,0.5539999999999999,1,2018-10-26,2018-19
New Orleans Pelicans,Brooklyn Nets,21800072,117,1.0,0.517,0.4,0.716,47.5,28.7,11.1,8.0,4.6,14.2,122.2,109.4,0.604,115,0.5,0.473,0.36700000000000005,0.747,45.1,24.8,19.0,6.3,4.6,-1.3,106.6,107.6,0.574,1,2018-10-26,2018-19
Philadelphia 76ers,Charlotte Hornets,21800078,105,0.4,0.45299999999999996,0.34299999999999997,0.752,46.3,26.7,12.4,6.2,5.5,-2.6,107.3,110.6,0.551,103,0.5,0.46399999999999997,0.385,0.797,43.5,24.8,11.7,6.6,7.4,6.3,115.0,108.9,0.5720000000000001,1,2018-10-27,2018-19
San Antonio Spurs,Los Angeles Lakers,21800082,110,0.5,0.44299999999999995,0.441,0.784,46.3,24.8,10.0,5.0,3.5,-7.0,114.8,122.7,0.544,106,0.4,0.5,0.31,0.731,41.6,26.6,11.5,9.0,5.5,1.1,115.0,114.1,0.5770000000000001,1,2018-10-27,2018-19
Cleveland Cavaliers,Indiana Pacers,21800077,107,0.0,0.44,0.324,0.805,44.3,20.2,14.2,5.9,1.4,-12.8,104.2,116.8,0.522,119,0.6,0.494,0.452,0.674,45.4,23.6,14.9,7.3,5.3,8.4,112.2,103.4,0.575,0,2018-10-27,2018-19
Miami Heat,Portland Trail Blazers,21800079,120,0.5,0.42700000000000005,0.344,0.7120000000000001,50.6,21.0,15.9,5.1,6.4,4.9,106.6,101.5,0.527,111,0.75,0.475,0.37,0.867,50.2,21.4,14.1,6.1,5.4,8.2,117.6,109.6,0.589,1,2018-10-27,2018-19
Detroit Pistons,Boston Celtics,21800074,89,1.0,0.45399999999999996,0.376,0.723,46.4,20.9,13.5,4.2,4.4,3.2,114.0,110.8,0.5479999999999999,109,0.6,0.40700000000000003,0.318,0.768,49.0,22.0,13.9,6.3,3.4,2.2,99.2,96.6,0.501,0,2018-10-27,2018-19
Milwaukee Bucks,Orlando Magic,21800081,113,1.0,0.474,0.38299999999999995,0.764,52.1,25.8,15.5,5.7,7.4,14.0,114.2,100.2,0.588,91,0.4,0.431,0.34,0.711,46.8,25.3,13.9,6.6,6.0,-8.2,103.2,111.7,0.514,1,2018-10-27,2018-19
Atlanta Hawks,Chicago Bulls,21800076,85,0.5,0.461,0.40399999999999997,0.7020000000000001,42.1,24.4,16.1,7.1,4.8,-0.9,107.6,108.3,0.574,97,0.2,0.47200000000000003,0.401,0.759,38.7,22.8,14.0,4.6,5.0,-10.8,110.4,120.5,0.573,0,2018-10-27,2018-19
Memphis Grizzlies,Phoenix Suns,21800080,117,0.5,0.397,0.35,0.764,40.4,21.1,13.3,9.3,3.8,-2.8,99.7,102.5,0.508,96,0.25,0.47600000000000003,0.355,0.7440000000000001,42.6,26.1,17.7,5.7,2.7,-11.1,105.4,116.2,0.5820000000000001,1,2018-10-27,2018-19
New Orleans Pelicans,Utah Jazz,21800075,111,1.0,0.5,0.39799999999999996,0.727,46.8,27.2,11.0,8.7,6.1,11.2,120.1,109.9,0.5870000000000001,132,0.5,0.439,0.373,0.78,44.1,20.7,16.7,7.9,4.7,2.0,105.9,104.2,0.5660000000000001,0,2018-10-27,2018-19
Brooklyn Nets,Golden State Warriors,21800083,114,0.4,0.465,0.39299999999999996,0.735,46.6,24.9,19.3,6.2,5.2,-1.4,107.6,108.8,0.569,120,0.833,0.523,0.39,0.846,43.0,28.1,16.4,7.9,5.5,12.4,116.4,103.7,0.623,0,2018-10-28,2018-19
LA Clippers,Washington Wizards,21800086,136,0.6,0.462,0.336,0.861,45.9,19.3,14.6,5.3,5.3,4.5,110.0,105.7,0.574,104,0.2,0.442,0.32799999999999996,0.7909999999999999,37.9,19.4,12.5,7.1,7.1,-5.5,107.0,112.5,0.557,1,2018-10-28,2018-19
Dallas Mavericks,Utah Jazz,21800084,104,0.4,0.439,0.33,0.752,42.0,25.0,14.1,7.0,5.8,-5.2,109.5,114.7,0.547,113,0.6,0.457,0.361,0.787,43.1,22.5,15.7,7.6,5.0,5.6,109.1,103.7,0.58,0,2018-10-28,2018-19
Oklahoma City Thunder,Phoenix Suns,21800085,117,0.0,0.391,0.24100000000000002,0.643,49.2,19.4,14.9,7.9,6.0,-9.8,97.6,107.7,0.46799999999999997,110,0.2,0.473,0.33899999999999997,0.752,41.4,26.6,18.1,5.6,2.4,-13.1,104.2,116.8,0.5770000000000001,1,2018-10-28,2018-19
Philadelphia 76ers,Atlanta Hawks,21800088,113,0.5,0.441,0.345,0.768,47.9,25.4,12.2,5.9,5.9,-1.9,107.0,109.4,0.5429999999999999,92,0.4,0.435,0.382,0.7240000000000001,42.7,23.3,17.0,7.4,5.4,-3.0,102.2,104.6,0.551,1,2018-10-29,2018-19
San Antonio Spurs,Dallas Mavericks,21800094,113,0.6,0.451,0.40700000000000003,0.7859999999999999,46.5,23.7,10.5,5.4,3.8,-4.8,113.1,118.6,0.544,108,0.33299999999999996,0.436,0.32899999999999996,0.753,42.1,24.8,13.9,6.8,5.3,-5.8,108.4,114.1,0.541,1,2018-10-29,2018-19
Chicago Bulls,Golden State Warriors,21800091,124,0.33299999999999996,0.466,0.39399999999999996,0.765,40.4,22.9,15.3,6.1,5.1,-6.9,106.8,113.5,0.5670000000000001,149,0.857,0.519,0.381,0.85,43.5,28.0,15.7,8.3,5.7,11.5,116.7,105.0,0.62,0,2018-10-29,2018-19
New York Knicks,Brooklyn Nets,21800090,115,0.16699999999999998,0.42100000000000004,0.345,0.7559999999999999,41.7,19.1,12.9,7.7,2.3,-7.7,102.9,110.4,0.514,96,0.33299999999999996,0.46799999999999997,0.41,0.726,44.9,25.4,18.5,6.0,4.8,-2.2,108.5,110.5,0.5760000000000001,1,2018-10-29,2018-19
Miami Heat,Sacramento Kings,21800089,113,0.6,0.434,0.353,0.701,51.7,21.0,15.3,5.5,6.7,5.7,109.2,103.1,0.5329999999999999,123,0.5,0.5,0.395,0.649,42.3,22.2,14.7,7.3,4.2,-3.1,109.7,111.9,0.574,0,2018-10-29,2018-19
Milwaukee Bucks,Toronto Raptors,21800092,124,1.0,0.478,0.377,0.7909999999999999,52.4,25.2,16.2,5.7,7.3,15.1,112.9,97.8,0.5920000000000001,109,1.0,0.495,0.379,0.769,46.9,25.0,14.0,7.1,6.0,10.7,115.9,105.6,0.5920000000000001,1,2018-10-29,2018-19
Indiana Pacers,Portland Trail Blazers,21800087,93,0.667,0.517,0.446,0.679,42.2,24.6,15.0,8.4,5.0,9.1,114.5,105.3,0.594,103,0.6,0.465,0.369,0.872,48.6,19.9,13.1,6.3,5.9,4.9,116.1,111.6,0.5820000000000001,0,2018-10-29,2018-19
Denver Nuggets,New Orleans Pelicans,21800095,116,0.8,0.46299999999999997,0.292,0.743,48.4,23.6,13.6,9.3,5.2,8.9,109.7,101.2,0.55,111,0.8,0.484,0.365,0.733,44.8,25.7,11.8,7.6,5.8,5.0,116.4,112.2,0.5720000000000001,1,2018-10-29,2018-19
Minnesota Timberwolves,Los Angeles Lakers,21800093,124,0.33299999999999996,0.431,0.35,0.85,41.6,22.3,13.0,9.2,5.6,-4.3,108.7,113.4,0.54,120,0.33299999999999996,0.49700000000000005,0.325,0.715,41.4,25.3,12.3,8.3,5.4,0.3,113.1,113.0,0.575,1,2018-10-29,2018-19
Boston Celtics,Detroit Pistons,21800099,108,0.667,0.414,0.33299999999999996,0.75,49.7,22.4,13.7,5.9,4.1,5.1,100.5,95.2,0.511,105,0.8,0.43799999999999994,0.33299999999999996,0.736,46.5,19.9,13.0,4.1,4.1,-1.4,108.9,110.0,0.53,1,2018-10-30,2018-19
Orlando Magic,Sacramento Kings,21800098,99,0.33299999999999996,0.41200000000000003,0.316,0.737,45.4,24.3,13.2,7.0,6.0,-10.4,100.2,110.8,0.49700000000000005,107,0.5710000000000001,0.499,0.40399999999999997,0.642,42.3,22.7,14.4,7.3,4.7,-1.3,110.0,110.6,0.574,0,2018-10-30,2018-19
Houston Rockets,Portland Trail Blazers,21800101,85,0.2,0.431,0.354,0.731,39.6,21.1,14.0,8.6,5.7,-8.6,107.2,114.9,0.54,104,0.667,0.46799999999999997,0.371,0.8809999999999999,49.3,20.0,14.0,5.8,5.5,5.8,115.1,109.5,0.585,0,2018-10-30,2018-19
Cleveland Cavaliers,Atlanta Hawks,21800097,136,0.0,0.444,0.316,0.8220000000000001,43.9,20.5,15.0,6.5,1.5,-12.9,105.8,118.3,0.528,114,0.33299999999999996,0.424,0.355,0.716,42.7,22.4,16.4,7.7,4.9,-5.7,99.1,104.4,0.5329999999999999,1,2018-10-30,2018-19
Charlotte Hornets,Miami Heat,21800096,125,0.429,0.45299999999999996,0.36700000000000005,0.8029999999999999,44.1,24.0,11.3,6.1,7.5,5.1,113.3,108.4,0.56,113,0.5,0.43,0.349,0.7020000000000001,50.9,20.5,15.5,6.1,6.9,3.1,108.1,104.7,0.532,1,2018-10-30,2018-19
Toronto Raptors,Philadelphia 76ers,21800100,129,0.857,0.47700000000000004,0.34600000000000003,0.772,47.0,24.7,13.3,7.3,6.0,7.0,113.6,107.0,0.5720000000000001,112,0.5710000000000001,0.43700000000000006,0.336,0.787,49.5,26.1,13.0,5.9,6.2,1.2,106.5,105.6,0.541,1,2018-10-30,2018-19
