Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Los Angeles Lakers,Utah Jazz,0021900025,95,0.0,0.435,0.394,0.714,42.3,20.6,15.5,4.1,7.2,-10.3,105.2,115.5,0.541,86,1.0,0.444,0.25,0.7,48.5,14.9,10.9,4.0,5.0,5.0,99.0,94.1,0.506,1,10/25/2019
Brooklyn Nets,New York Knicks,0021900019,113,0.0,0.475,0.441,0.577,41.0,16.2,13.7,6.8,7.7,-0.9,107.7,106.7,0.56,109,0.0,0.468,0.333,0.722,35.5,21.8,12.7,14.5,0.9,-8.2,100.9,110.1,0.545,1,10/25/2019
Boston Celtics,Toronto Raptors,0021900017,112,0.0,0.367,0.269,0.588,39.8,17.5,10.7,3.9,1.9,-13.6,90.3,103.9,0.443,106,1.0,0.408,0.35,0.842,49.6,20.0,14.8,6.1,2.6,7.0,113.0,108.9,0.543,1,10/25/2019
Sacramento Kings,Portland Trail Blazers,0021900024,112,0.0,0.391,0.345,0.654,43.5,15.7,25.0,4.6,4.6,-26.9,88.0,112.7,0.483,122,0.0,0.414,0.25,0.913,47.1,12.7,19.6,8.8,3.9,-7.8,98.0,104.9,0.515,0,10/25/2019
Denver Nuggets,Phoenix Suns,0021900023,108,1.0,0.42,0.563,0.815,43.7,23.3,19.4,10.7,3.9,7.8,104.9,98.0,0.581,107,1.0,0.5,0.333,0.833,40.0,28.2,12.7,11.8,8.2,26.4,112.7,88.0,0.585,1,10/25/2019
Charlotte Hornets,Minnesota Timberwolves,0021900018,99,1.0,0.511,0.523,0.813,39.0,26.7,18.1,2.9,3.8,1.0,120.0,120.2,0.663,121,1.0,0.426,0.302,0.786,43.7,19.3,10.9,7.6,3.4,0.8,106.7,107.7,0.528,0,10/25/2019
Oklahoma City Thunder,Washington Wizards,0021900022,85,0.0,0.386,0.37,0.677,47.5,14.9,15.8,5.0,4.0,-5.0,94.1,99.0,0.492,97,0.0,0.398,0.268,0.833,45.2,25.0,16.3,5.8,2.9,-7.7,96.2,103.8,0.495,0,10/25/2019
Memphis Grizzlies,Chicago Bulls,0021900020,102,0.0,0.427,0.156,0.667,35.1,19.3,21.1,7.9,6.1,-16.7,88.6,105.3,0.494,110,0.0,0.467,0.3,0.818,47.1,24.0,11.5,10.6,3.8,-1.0,120.2,120.0,0.545,0,10/25/2019
New Orleans Pelicans,Dallas Mavericks,0021900021,116,0.0,0.422,0.422,0.85,47.3,26.8,17.0,3.6,8.0,-7.1,108.9,113.0,0.551,123,1.0,0.461,0.306,0.818,44.2,16.3,19.2,5.8,4.8,7.7,103.8,96.2,0.597,0,10/25/2019
San Antonio Spurs,Washington Wizards,0021900033,124,1.0,0.506,0.333,0.806,46.8,20.2,19.3,5.5,4.6,8.3,110.1,100.9,0.607,122,0.5,0.4,0.268,0.821,45.0,22.5,15.3,7.2,4.3,1.9,94.3,93.2,0.487,1,10/26/2019
