Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date
Chicago Bulls,Toronto Raptors,0021900031,84,0.5,0.449,0.292,0.783,44.8,20.5,12.4,11.9,5.2,3.3,111.9,108.1,0.538,108,0.5,0.436,0.421,0.836,47.0,20.5,18.3,4.1,4.1,0.9,107.8,107.8,0.575,0,10/26/2019
New York Knicks,Boston Celtics,0021900029,95,0.0,0.469,0.491,0.63,35.6,18.7,18.3,13.7,2.3,-5.9,100.5,106.9,0.563,118,0.5,0.377,0.313,0.7,46.6,18.8,10.1,6.7,4.8,-3.8,98.6,102.9,0.464,0,10/26/2019
Phoenix Suns,LA Clippers,0021900035,130,0.5,0.451,0.311,0.92,45.4,25.9,14.8,8.3,4.6,13.0,106.9,94.0,0.561,122,1.0,0.571,0.46,0.741,41.4,28.1,16.7,7.4,4.9,14.3,124.6,109.3,0.685,1,10/26/2019
Cleveland Cavaliers,Indiana Pacers,0021900030,110,0.0,0.375,0.265,0.667,54.0,20.0,16.0,8.0,2.0,-9.0,85.0,94.0,0.449,99,0.0,0.461,0.381,0.833,35.0,25.2,14.6,7.8,5.8,-8.7,106.8,115.5,0.552,1,10/26/2019
Houston Rockets,New Orleans Pelicans,0021900032,126,0.0,0.367,0.333,0.744,52.3,22.9,12.8,5.5,5.5,-5.5,101.8,107.3,0.518,123,0.0,0.44,0.395,0.8,46.8,27.8,15.3,4.6,5.6,-6.9,110.2,115.5,0.552,1,10/26/2019
Detroit Pistons,Philadelphia 76ers,0021900027,111,0.5,0.466,0.344,0.836,42.2,23.1,16.1,5.5,5.5,-4.0,110.1,112.9,0.585,117,1.0,0.435,0.241,0.722,60.2,23.3,16.5,5.8,6.8,13.6,103.9,90.3,0.531,0,10/26/2019
Utah Jazz,Sacramento Kings,0021900034,113,0.5,0.431,0.286,0.829,45.4,17.3,17.3,6.1,3.6,-2.0,94.9,96.4,0.522,81,0.0,0.408,0.379,0.755,42.1,15.9,20.6,7.0,3.3,-18.2,96.7,115.0,0.525,1,10/26/2019
Milwaukee Bucks,Miami Heat,0021900026,126,1.0,0.465,0.348,0.5,48.6,28.4,10.1,6.4,9.2,5.5,107.3,101.8,0.547,131,1.0,0.471,0.389,0.846,44.7,15.8,18.4,7.9,7.0,16.7,105.3,88.6,0.587,0,10/26/2019
Atlanta Hawks,Orlando Magic,0021900028,103,1.0,0.512,0.355,0.857,42.9,27.6,13.3,9.2,2.0,17.3,119.4,104.2,0.614,99,1.0,0.43,0.3,0.579,46.0,24.0,13.0,12.0,4.0,9.0,94.0,85.0,0.498,1,10/26/2019
Los Angeles Lakers,Charlotte Hornets,0021900040,120,0.5,0.415,0.356,0.756,43.0,20.2,15.0,9.3,8.3,-0.5,102.1,103.1,0.516,101,0.5,0.477,0.479,0.619,39.3,25.6,18.5,4.3,4.3,-10.0,106.6,117.1,0.591,1,10/27/2019
Dallas Mavericks,Portland Trail Blazers,0021900038,119,1.0,0.473,0.329,0.78,45.7,19.2,14.9,6.7,5.8,7.2,111.1,103.8,0.592,121,0.5,0.477,0.31,0.889,42.7,17.5,17.5,8.3,4.4,1.0,107.8,105.3,0.579,0,10/27/2019
Minnesota Timberwolves,Miami Heat,0021900039,116,1.0,0.447,0.309,0.763,46.2,23.6,13.3,8.9,4.4,10.2,110.2,100.9,0.551,109,1.0,0.462,0.371,0.747,44.5,21.6,16.5,6.8,4.7,10.2,106.4,95.8,0.573,1,10/27/2019
Memphis Grizzlies,Brooklyn Nets,0021900037,134,0.0,0.421,0.246,0.68,43.6,20.9,19.1,7.7,5.9,-12.3,92.3,104.5,0.495,133,0.5,0.475,0.437,0.633,41.6,17.7,18.6,8.4,4.9,1.3,105.8,103.5,0.582,1,10/27/2019
Oklahoma City Thunder,Golden State Warriors,0021900036,120,0.0,0.392,0.3,0.66,47.5,14.2,17.2,5.9,4.9,-8.3,88.2,95.6,0.475,92,0.0,0.394,0.357,0.967,38.9,25.0,12.0,6.5,0.0,-17.6,113.0,133.0,0.544,1,10/27/2019
San Antonio Spurs,Portland Trail Blazers,0021900048,113,1.0,0.482,0.347,0.811,49.8,24.4,14.4,5.7,5.7,5.3,116.7,111.5,0.569,110,0.667,0.49,0.338,0.873,43.5,15.7,16.6,7.3,4.2,1.3,109.6,106.9,0.591,1,10/28/2019
New York Knicks,Chicago Bulls,0021900042,105,0.0,0.44,0.415,0.688,41.6,17.5,20.0,11.6,2.8,-11.3,98.4,109.7,0.539,98,0.333,0.4,0.28,0.746,44.0,19.3,13.0,10.8,4.1,-5.4,100.9,106.0,0.489,1,10/28/2019
Phoenix Suns,Utah Jazz,0021900049,95,0.667,0.467,0.346,0.869,45.8,27.4,15.0,8.4,4.0,11.2,112.5,101.6,0.588,96,0.667,0.475,0.372,0.774,44.9,21.1,18.7,6.1,2.7,9.5,101.7,91.9,0.572,0,10/28/2019
LA Clippers,Charlotte Hornets,0021900051,111,0.667,0.532,0.421,0.763,40.7,25.1,15.0,7.5,4.6,6.8,122.1,114.2,0.649,96,0.333,0.445,0.417,0.723,41.0,23.4,17.6,5.1,4.2,-12.8,104.5,117.3,0.559,1,10/28/2019
Houston Rockets,Oklahoma City Thunder,0021900045,116,0.5,0.413,0.312,0.812,46.4,23.6,15.0,5.9,4.5,-1.4,107.7,109.1,0.553,112,0.333,0.447,0.366,0.693,47.9,17.3,19.2,6.5,4.9,3.6,97.7,93.5,0.542,1,10/28/2019
Detroit Pistons,Indiana Pacers,0021900041,96,0.333,0.49,0.363,0.736,38.8,21.5,17.9,7.2,5.9,-4.6,107.5,110.6,0.591,94,0.0,0.455,0.367,0.838,35.6,24.3,15.8,7.4,4.5,-9.9,103.5,113.4,0.543,1,10/28/2019
Milwaukee Bucks,Cleveland Cavaliers,0021900046,129,0.5,0.451,0.33,0.679,43.1,22.8,12.5,6.5,6.0,0.4,104.7,104.8,0.562,112,0.5,0.435,0.308,0.659,49.2,21.6,17.6,8.5,4.5,1.0,98.0,97.0,0.52,1,10/28/2019
Atlanta Hawks,Philadelphia 76ers,0021900043,103,1.0,0.512,0.328,0.722,47.0,24.5,15.5,7.0,5.5,10.5,110.0,101.0,0.592,105,1.0,0.459,0.317,0.697,46.9,25.4,18.3,9.4,4.7,9.4,105.2,96.7,0.557,0,10/28/2019
Sacramento Kings,Denver Nuggets,0021900050,94,0.0,0.396,0.348,0.771,38.8,16.0,19.9,6.4,3.2,-22.8,92.3,115.1,0.504,101,1.0,0.405,0.424,0.81,42.7,21.3,16.1,8.5,7.6,4.3,102.4,99.5,0.538,0,10/28/2019
Toronto Raptors,Orlando Magic,0021900044,104,0.667,0.445,0.398,0.863,49.8,22.2,19.7,5.5,6.5,8.0,105.8,98.5,0.583,95,0.5,0.389,0.23,0.778,45.8,19.4,11.4,10.0,5.5,2.5,96.0,93.1,0.471,1,10/28/2019
New Orleans Pelicans,Golden State Warriors,0021900047,123,0.0,0.447,0.382,0.804,43.7,26.6,15.3,5.8,4.3,-5.5,110.4,114.8,0.56,134,0.0,0.361,0.267,0.918,38.4,20.9,13.3,9.5,0.9,-22.3,101.4,124.9,0.491,0,10/28/2019
Los Angeles Lakers,Memphis Grizzlies,0021900054,120,0.667,0.455,0.356,0.763,44.1,23.4,14.6,8.5,8.1,6.1,107.5,102.0,0.547,91,0.333,0.444,0.309,0.72,43.0,23.4,16.0,7.7,6.8,-7.7,100.0,107.7,0.528,1,10/29/2019
Miami Heat,Atlanta Hawks,0021900052,112,0.667,0.472,0.388,0.733,42.9,22.4,18.2,6.8,5.9,5.0,105.9,100.9,0.58,97,0.667,0.484,0.33,0.706,45.4,23.5,17.0,8.5,4.6,6.2,105.6,100.3,0.569,1,10/29/2019
Denver Nuggets,Dallas Mavericks,0021900053,106,1.0,0.391,0.368,0.833,47.4,21.1,15.1,8.6,6.9,5.3,104.3,100.3,0.515,109,0.667,0.445,0.302,0.78,44.6,21.2,13.6,6.6,4.7,4.1,110.8,107.0,0.57,0,10/29/2019
Philadelphia 76ers,Minnesota Timberwolves,0021900057,117,1.0,0.446,0.298,0.725,46.7,23.8,19.1,10.0,6.6,6.9,103.1,96.8,0.548,95,1.0,0.441,0.302,0.761,45.7,23.5,14.0,9.8,3.4,9.1,111.0,102.1,0.551,1,10/30/2019
Golden State Warriors,Phoenix Suns,0021900065,110,0.333,0.407,0.309,0.871,44.2,25.2,14.3,8.7,1.2,-11.2,108.4,120.4,0.523,121,0.5,0.454,0.355,0.832,44.1,26.2,15.1,8.0,3.8,8.3,107.5,99.5,0.574,0,10/30/2019
Brooklyn Nets,Indiana Pacers,0021900059,108,0.333,0.461,0.397,0.701,42.9,19.8,17.2,7.3,4.7,0.6,108.5,107.2,0.576,118,0.0,0.441,0.343,0.82,39.3,24.5,13.4,8.7,4.4,-7.4,101.7,109.1,0.519,0,10/30/2019
Boston Celtics,Milwaukee Bucks,0021900058,116,0.667,0.401,0.333,0.684,46.1,20.3,11.0,9.0,6.1,4.8,104.2,100.0,0.494,105,0.667,0.474,0.362,0.675,44.5,24.3,12.2,7.1,6.2,5.3,110.4,105.0,0.583,1,10/30/2019
Orlando Magic,New York Knicks,0021900056,95,0.333,0.387,0.26,0.794,45.6,20.0,12.8,9.5,5.6,-1.3,94.4,95.1,0.477,83,0.25,0.434,0.387,0.67,47.2,18.1,19.5,9.6,3.6,-7.0,101.2,108.2,0.529,1,10/30/2019
Cleveland Cavaliers,Chicago Bulls,0021900055,117,0.333,0.44,0.308,0.696,47.9,20.3,15.4,6.2,3.9,-4.9,100.7,105.9,0.525,111,0.25,0.405,0.275,0.761,43.1,19.5,12.4,9.7,4.4,-5.8,101.5,107.0,0.496,1,10/30/2019
Utah Jazz,LA Clippers,0021900063,110,0.75,0.453,0.359,0.793,45.6,20.4,19.6,6.5,3.3,7.3,99.5,92.0,0.565,96,0.75,0.52,0.406,0.789,41.4,24.5,16.7,8.3,5.4,8.8,119.1,109.5,0.638,1,10/30/2019
Sacramento Kings,Charlotte Hornets,0021900064,111,0.0,0.396,0.341,0.744,41.8,18.6,18.6,6.4,4.5,-19.3,94.6,113.6,0.498,118,0.25,0.442,0.401,0.722,40.2,23.5,18.6,5.1,3.9,-13.3,102.2,115.5,0.554,0,10/30/2019
Washington Wizards,Houston Rockets,0021900061,158,0.333,0.432,0.328,0.778,43.8,25.0,14.6,5.8,5.5,0.6,103.6,103.3,0.523,159,0.667,0.42,0.285,0.824,44.0,22.6,14.6,5.9,5.0,0.3,109.3,109.0,0.553,0,10/30/2019
Toronto Raptors,Detroit Pistons,0021900060,125,0.75,0.431,0.363,0.883,49.8,21.2,18.8,6.3,5.3,8.1,104.2,96.7,0.57,113,0.5,0.481,0.404,0.752,41.4,21.6,18.6,6.0,5.2,-3.0,105.7,107.6,0.584,1,10/30/2019
Oklahoma City Thunder,Portland Trail Blazers,0021900062,99,0.25,0.444,0.368,0.697,48.5,18.3,18.0,6.6,4.4,1.7,100.5,98.3,0.54,102,0.5,0.462,0.327,0.857,43.7,16.1,14.7,6.4,5.0,0.2,107.1,106.4,0.563,0,10/30/2019
LA Clippers,San Antonio Spurs,0021900068,103,0.6,0.511,0.397,0.794,40.5,23.5,17.4,7.3,5.1,4.3,115.0,109.8,0.621,97,1.0,0.482,0.338,0.788,48.6,24.0,15.1,5.4,6.6,4.4,112.6,107.5,0.57,1,10/31/2019
Atlanta Hawks,Miami Heat,0021900066,97,0.5,0.469,0.315,0.696,42.0,24.4,17.6,9.8,5.1,1.0,102.4,102.0,0.556,106,0.75,0.468,0.395,0.733,43.8,21.3,20.2,7.6,5.8,7.2,106.1,99.1,0.585,0,10/31/2019
New Orleans Pelicans,Denver Nuggets,0021900067,122,0.0,0.452,0.366,0.726,42.1,28.1,14.9,7.3,4.8,-6.6,110.8,116.6,0.556,107,0.75,0.412,0.362,0.814,48.9,22.2,14.4,8.1,5.5,3.3,106.5,104.3,0.523,1,10/31/2019
Golden State Warriors,San Antonio Spurs,0021900076,110,0.25,0.414,0.304,0.86,43.2,24.5,15.0,8.4,2.3,-11.0,107.0,118.5,0.532,127,0.75,0.475,0.337,0.759,48.6,21.8,16.0,5.5,6.2,1.9,108.6,106.2,0.56,0,11/01/2019
Chicago Bulls,Detroit Pistons,0021900073,112,0.2,0.411,0.293,0.774,41.1,20.6,11.4,9.0,4.5,-5.9,103.7,109.6,0.507,106,0.4,0.478,0.418,0.75,41.2,23.1,18.7,5.7,4.3,-4.7,106.3,110.4,0.583,1,11/01/2019
Brooklyn Nets,Houston Rockets,0021900069,123,0.25,0.456,0.381,0.683,45.3,20.0,17.8,7.0,4.7,-1.8,108.1,109.2,0.562,116,0.75,0.451,0.325,0.815,42.8,24.6,13.8,6.7,4.8,0.5,117.7,117.2,0.587,1,11/01/2019
Boston Celtics,New York Knicks,0021900072,104,0.75,0.411,0.356,0.71,45.7,21.4,10.7,7.8,5.6,6.3,106.8,100.7,0.513,102,0.2,0.423,0.352,0.674,47.6,18.7,18.3,8.1,5.0,-8.1,99.8,107.9,0.515,1,11/01/2019
Orlando Magic,Milwaukee Bucks,0021900071,91,0.5,0.395,0.288,0.787,48.5,21.6,12.2,8.6,5.8,2.0,97.2,94.7,0.485,123,0.5,0.471,0.35,0.663,44.4,23.5,12.8,6.2,5.7,1.6,108.7,107.3,0.58,0,11/01/2019
Dallas Mavericks,Los Angeles Lakers,0021900074,110,0.75,0.455,0.313,0.742,44.7,23.5,12.7,6.6,4.9,3.9,112.2,108.6,0.572,119,0.75,0.457,0.336,0.796,45.4,23.2,15.1,8.4,7.9,11.6,107.9,96.8,0.556,0,11/01/2019
Indiana Pacers,Cleveland Cavaliers,0021900070,102,0.25,0.448,0.365,0.829,39.5,24.5,12.3,8.8,3.8,-3.0,105.3,108.5,0.53,95,0.5,0.46,0.328,0.736,48.0,21.6,16.4,5.5,4.7,-2.2,105.5,107.7,0.552,1,11/01/2019
Sacramento Kings,Utah Jazz,0021900075,102,0.0,0.41,0.331,0.745,41.1,20.0,17.8,7.3,4.5,-16.8,97.4,114.0,0.508,101,0.8,0.473,0.376,0.778,43.8,21.0,18.8,7.7,3.6,8.7,101.8,93.1,0.578,1,11/01/2019
Golden State Warriors,Charlotte Hornets,0021900083,87,0.2,0.423,0.331,0.866,42.5,24.7,14.2,7.6,2.3,-12.1,107.8,120.4,0.543,93,0.4,0.463,0.419,0.72,41.2,24.7,19.0,5.6,3.7,-9.3,104.9,114.2,0.573,0,11/02/2019
Orlando Magic,Denver Nuggets,0021900079,87,0.4,0.391,0.296,0.761,46.5,21.3,12.9,8.5,5.2,-4.8,95.4,99.8,0.48,91,0.6,0.426,0.346,0.823,45.8,22.4,14.4,7.4,5.0,-0.4,106.0,107.3,0.529,0,11/02/2019
Detroit Pistons,Brooklyn Nets,0021900078,113,0.333,0.479,0.38,0.75,42.1,22.7,18.3,6.6,4.9,-4.9,106.1,110.7,0.578,109,0.4,0.463,0.419,0.689,46.2,20.8,18.2,7.0,5.1,-0.2,108.8,108.4,0.575,1,11/02/2019
Portland Trail Blazers,Philadelphia 76ers,0021900084,128,0.6,0.449,0.365,0.828,44.2,16.4,15.3,6.8,5.5,0.8,104.7,103.8,0.556,129,1.0,0.452,0.31,0.739,47.8,23.3,19.3,10.7,6.3,10.3,104.0,94.1,0.551,0,11/02/2019
Milwaukee Bucks,Toronto Raptors,0021900082,115,0.6,0.478,0.352,0.664,46.7,23.4,12.9,7.0,5.4,7.2,110.7,103.7,0.586,105,0.8,0.463,0.38,0.878,46.5,22.7,18.0,7.3,4.7,8.8,107.5,99.1,0.591,1,11/02/2019
Washington Wizards,Minnesota Timberwolves,0021900080,109,0.25,0.479,0.382,0.797,41.7,25.7,15.2,5.7,5.0,0.2,113.6,113.6,0.584,131,0.75,0.431,0.298,0.758,42.0,20.3,15.5,10.3,3.9,1.8,104.8,103.2,0.542,0,11/02/2019
Memphis Grizzlies,Phoenix Suns,0021900081,105,0.25,0.415,0.281,0.776,42.7,22.1,16.8,8.1,5.8,-12.3,95.7,108.1,0.505,114,0.6,0.455,0.368,0.836,43.7,27.1,15.3,8.7,3.8,8.7,108.7,100.2,0.574,0,11/02/2019
Oklahoma City Thunder,New Orleans Pelicans,0021900077,115,0.2,0.434,0.326,0.721,49.2,17.4,18.0,6.8,3.9,0.8,99.0,97.7,0.53,104,0.2,0.465,0.38,0.743,40.9,28.3,15.0,7.2,4.6,-2.6,112.2,114.2,0.576,1,11/02/2019
San Antonio Spurs,Los Angeles Lakers,0021900088,96,0.8,0.474,0.346,0.782,49.3,22.1,15.1,5.2,5.4,4.8,112.4,107.1,0.568,103,0.8,0.464,0.324,0.79,43.5,22.8,13.9,8.7,7.5,10.8,107.5,97.3,0.558,0,11/03/2019
New York Knicks,Sacramento Kings,0021900087,92,0.167,0.419,0.356,0.673,48.3,19.3,17.4,8.3,4.8,-7.1,100.5,107.8,0.512,113,0.167,0.422,0.324,0.739,41.0,19.3,17.8,7.5,4.3,-14.0,99.2,112.6,0.516,0,11/03/2019
LA Clippers,Utah Jazz,0021900090,105,0.667,0.496,0.367,0.784,41.5,22.2,16.5,7.6,4.4,4.6,112.9,107.5,0.599,94,0.667,0.474,0.379,0.77,42.7,20.6,18.6,8.4,3.9,7.1,102.4,95.6,0.581,1,11/03/2019
Cleveland Cavaliers,Dallas Mavericks,0021900089,111,0.4,0.441,0.331,0.75,46.9,21.1,16.1,6.1,3.9,-3.1,102.2,105.3,0.538,131,0.6,0.441,0.327,0.735,46.9,22.9,14.4,6.2,4.0,1.3,109.4,108.1,0.554,0,11/03/2019
Miami Heat,Houston Rockets,0021900086,129,0.8,0.47,0.392,0.721,43.5,22.9,19.2,8.5,6.5,7.6,106.6,99.3,0.583,100,0.6,0.443,0.31,0.815,41.5,23.5,13.2,7.7,4.6,-0.9,115.2,116.1,0.574,1,11/03/2019
Indiana Pacers,Chicago Bulls,0021900085,108,0.4,0.439,0.325,0.846,42.7,23.3,12.5,8.5,4.9,-1.0,103.4,104.6,0.521,95,0.333,0.415,0.312,0.775,41.2,22.0,12.3,8.5,3.9,-3.9,105.1,108.9,0.516,1,11/03/2019
Golden State Warriors,Portland Trail Blazers,0021900096,127,0.167,0.426,0.33,0.858,42.7,24.8,15.0,7.3,2.8,-11.3,106.0,117.5,0.54,118,0.5,0.468,0.401,0.816,42.5,17.0,15.6,6.8,5.2,0.5,107.6,106.8,0.581,1,11/04/2019
Phoenix Suns,Philadelphia 76ers,0021900095,114,0.667,0.463,0.375,0.826,41.7,26.9,15.5,8.7,3.5,8.7,109.2,100.6,0.578,109,1.0,0.464,0.315,0.748,46.9,25.4,17.6,10.7,6.5,8.4,107.5,99.6,0.556,1,11/04/2019
Brooklyn Nets,New Orleans Pelicans,0021900092,135,0.333,0.463,0.403,0.696,46.3,21.2,17.7,6.5,4.9,-0.8,108.4,108.8,0.57,125,0.167,0.458,0.375,0.717,43.1,27.7,15.1,7.2,4.7,-3.9,110.4,113.8,0.564,1,11/04/2019
Minnesota Timberwolves,Milwaukee Bucks,0021900094,106,0.8,0.454,0.325,0.752,41.8,22.1,16.3,9.8,4.9,5.4,106.7,101.3,0.562,134,0.667,0.475,0.351,0.688,47.4,24.5,12.8,6.6,5.6,7.6,111.5,103.7,0.584,0,11/04/2019
Washington Wizards,Detroit Pistons,0021900091,115,0.2,0.461,0.374,0.812,39.9,24.1,15.1,6.5,4.7,-3.9,109.3,113.7,0.568,99,0.429,0.474,0.368,0.757,41.8,22.4,16.8,6.8,5.2,-3.7,106.8,110.0,0.573,1,11/04/2019
Memphis Grizzlies,Houston Rockets,0021900093,100,0.2,0.428,0.288,0.752,43.2,22.8,17.3,8.2,6.2,-11.7,97.1,108.7,0.514,107,0.5,0.436,0.307,0.808,40.4,22.5,14.4,7.4,4.6,-5.2,111.5,116.3,0.569,0,11/04/2019
Chicago Bulls,Los Angeles Lakers,0021900100,112,0.286,0.417,0.312,0.742,41.1,22.6,13.0,8.4,3.6,-5.2,103.1,108.1,0.514,118,0.833,0.467,0.314,0.775,43.6,22.3,14.5,8.5,7.9,10.1,105.9,96.6,0.555,0,11/05/2019
Cleveland Cavaliers,Boston Celtics,0021900098,113,0.333,0.435,0.341,0.739,46.0,21.6,15.0,6.6,4.0,-5.9,103.8,109.9,0.536,119,0.8,0.417,0.35,0.76,45.7,21.5,11.4,7.7,5.3,5.5,106.9,101.4,0.527,0,11/05/2019
Atlanta Hawks,San Antonio Spurs,0021900099,108,0.4,0.456,0.292,0.695,43.8,23.7,17.4,8.9,5.1,-1.0,102.0,103.4,0.542,100,0.667,0.462,0.329,0.789,48.7,22.1,15.5,6.1,5.2,2.9,109.2,105.6,0.557,1,11/05/2019
Denver Nuggets,Miami Heat,0021900102,109,0.667,0.418,0.343,0.796,45.5,21.4,14.5,7.6,4.7,0.3,104.5,104.9,0.525,89,0.833,0.48,0.401,0.727,43.3,24.8,18.7,9.2,6.4,10.7,108.4,98.2,0.595,1,11/05/2019
Charlotte Hornets,Indiana Pacers,0021900097,122,0.5,0.456,0.385,0.716,42.8,23.9,18.3,5.8,3.3,-6.9,104.3,111.4,0.559,120,0.5,0.444,0.322,0.822,43.4,23.9,13.3,8.0,5.7,1.3,103.4,102.3,0.527,1,11/05/2019
Oklahoma City Thunder,Orlando Magic,0021900101,102,0.333,0.438,0.343,0.73,48.1,17.8,17.0,6.9,5.0,2.4,101.1,98.2,0.538,94,0.333,0.397,0.283,0.748,47.0,21.7,13.5,8.5,5.6,-4.7,94.9,99.3,0.48,1,11/05/2019
LA Clippers,Milwaukee Bucks,0021900111,124,0.714,0.48,0.344,0.781,43.5,21.3,15.5,7.5,4.7,5.5,112.4,106.1,0.582,129,0.714,0.484,0.352,0.684,47.9,24.0,13.1,6.6,5.6,10.2,112.7,102.5,0.591,0,11/06/2019
Houston Rockets,Golden State Warriors,0021900107,129,0.571,0.427,0.312,0.793,41.6,22.1,14.8,7.1,4.6,-3.6,110.3,113.7,0.56,112,0.286,0.434,0.336,0.869,43.3,25.2,14.3,6.8,2.9,-8.5,108.9,117.6,0.552,1,11/06/2019
Detroit Pistons,New York Knicks,0021900103,122,0.375,0.467,0.382,0.76,41.9,22.2,17.3,6.4,5.7,-5.2,105.9,110.9,0.568,102,0.143,0.416,0.341,0.668,47.1,19.2,16.9,8.0,4.9,-9.2,99.7,109.0,0.51,1,11/06/2019
Utah Jazz,Philadelphia 76ers,0021900110,106,0.571,0.463,0.37,0.759,42.1,20.0,18.1,7.8,4.2,4.5,101.6,97.5,0.571,104,0.833,0.465,0.335,0.728,45.2,24.5,17.8,10.6,5.8,6.3,106.9,100.9,0.557,1,11/06/2019
Indiana Pacers,Washington Wizards,0021900104,121,0.429,0.459,0.335,0.824,43.0,24.2,13.8,7.5,5.9,0.8,104.9,104.1,0.54,106,0.333,0.461,0.361,0.817,40.2,24.6,14.7,6.9,5.0,-0.8,110.6,111.5,0.566,1,11/06/2019
Dallas Mavericks,Orlando Magic,0021900109,107,0.667,0.457,0.354,0.744,47.7,24.8,14.4,6.0,4.4,4.4,113.3,108.7,0.571,106,0.286,0.396,0.268,0.776,48.3,20.9,13.7,8.0,6.0,-5.3,95.6,100.4,0.482,1,11/06/2019
Atlanta Hawks,Chicago Bulls,0021900105,93,0.5,0.46,0.304,0.694,44.3,23.3,17.4,8.9,5.1,0.5,102.5,102.5,0.544,113,0.25,0.427,0.326,0.715,41.0,22.4,13.3,8.7,3.7,-5.3,103.7,108.7,0.523,0,11/06/2019
Toronto Raptors,Sacramento Kings,0021900106,124,0.667,0.454,0.386,0.879,45.7,22.9,17.4,6.9,4.9,5.8,106.9,101.7,0.585,120,0.286,0.43,0.333,0.721,42.5,20.2,17.4,7.5,4.4,-9.0,101.6,110.1,0.526,1,11/06/2019
Memphis Grizzlies,Minnesota Timberwolves,0021900108,137,0.167,0.428,0.265,0.761,44.2,22.1,16.9,8.9,6.3,-10.9,97.1,107.8,0.509,121,0.667,0.437,0.321,0.767,41.9,21.4,16.0,9.9,4.7,0.3,104.8,104.4,0.545,1,11/06/2019
